"","paper_id","sample_country","clean_name","author","title","year","journal","volume","issue","pages","notes"
"1108",207,"Madagascar","Dalbergia purpurascens","Rasolomampiania et al","Nitrogen-fixing nodules from rose wood legume trees (Dalbergia spp.) endemic to Madagascar host seven different genera belonging to _- and _-Proteobacteria",2005,"Molecular Ecology",14,"","4135-4146",""
"1109",207,"Madagascar","Dalbergia chapelieri","Rasolomampiania et al","Nitrogen-fixing nodules from rose wood legume trees (Dalbergia spp.) endemic to Madagascar host seven different genera belonging to _- and _-Proteobacteria",2005,"Molecular Ecology",14,"","4135-4146",""
"1110",208,"China","Sphaerophysa salsula","Qin et al","Rhizobium helanshanense sp. Nov., a bacterium that nodulates Sphaerophysa salsula (Pall.) DC. In China",2012,"Archives of Microbiology",194,"","371-378",""
"1114",209,"Tunisia","Hedysarum spinosissimum","Rejili et al","Symbiotic nitrogen fixation of wild legumes in Tunisia: soil fertility dynamics, field nodulation and nodules effectiveness",2012,"Agriculture, ecosystems and environment",157,"","60-69",""
"1115",209,"Tunisia","Lotus creticus","Rejili et al","Symbiotic nitrogen fixation of wild legumes in Tunisia: soil fertility dynamics, field nodulation and nodules effectiveness",2012,"Agriculture, ecosystems and environment",157,"","60-69",""
"1116",209,"Tunisia","Lotus halophilus","Rejili et al","Symbiotic nitrogen fixation of wild legumes in Tunisia: soil fertility dynamics, field nodulation and nodules effectiveness",2012,"Agriculture, ecosystems and environment",157,"","60-69",""
"1117",209,"Tunisia","Vicia sativa","Rejili et al","Symbiotic nitrogen fixation of wild legumes in Tunisia: soil fertility dynamics, field nodulation and nodules effectiveness",2012,"Agriculture, ecosystems and environment",157,"","60-69",""
"1118",212,"Spain","Ononis tridentata","Rincon et al","Diversity of rhizobial bacteria isolated from nodules of the gypsophyte Ononis tridentata L. grwoing in spanish soils",2008,"Microbial Ecology",56,"","223-233",""
"1122",213,"Mexico","Acacia angustissima","Rincon-Rosales et al","Rhizobia with different symbiotic efficiencies nodulate Acaciella angustissima in Mexico, including Sinorhizobium chiapanecum sp. Nov. which has common symbiotic genes with Sinorhizobium mexicanum",2009,"FEMS Microbiology Ecology",67,"","103-117",""
"1126",214,"Mexico","Calliandra houstoniana","Ricon-Rosales et al","Rhizobium calliandrae sp. Nov., Rhizobium mayense sp. Nov. and Rhizobium jaguaris sp. Nov., rhizobial species nodulating the medicinal legume Calliandra grandiflora",2013,"International Journal of Systematic and Evolutionary Microbiology",63,"","3423-3429",""
"1129",217,"Portugal","Acacia longifolia","Rodriquez-Echeverria","Rhizobial hitchhikers from down under: invasional meltdown in a plant-bacteria mutualism",2010,"Journal of Biogeography",37,"","1611-1622",""
"1133",217,"Portugal","Cytisus grandiflorus","Rodriquez-Echeverria","Rhizobial hitchhikers from down under: invasional meltdown in a plant-bacteria mutualism",2010,"Journal of Biogeography",37,"","1611-1622",""
"1137",217,"Portugal","Cytisus scoparius","Rodriquez-Echeverria","Rhizobial hitchhikers from down under: invasional meltdown in a plant-bacteria mutualism",2010,"Journal of Biogeography",37,"","1611-1622",""
"1140",217,"Portugal","Ulex europaeus","Rodriquez-Echeverria","Rhizobial hitchhikers from down under: invasional meltdown in a plant-bacteria mutualism",2010,"Journal of Biogeography",37,"","1611-1622",""
"1144",218,"Portugal","Acacia longifolia","Rodriquez-Echeverria et al","Genetic diversity of rhizobia associated with Acacia longifolia in two stages of invasion of coastal sand dunes",2007,"Applied and Environmental Microbiology",73,"15","5066-5070",""
"1147",219,"Australia","Acacia dealbata","Rodriguez-Echeverria et al","Jack-of-all-trades and master of many? How does associated rhizobial diversity influence the colonization success of Australian Acacia species?",2011,"Diversity and Distributions",17,"","946-957",""
"1148",219,"Australia","Acacia pycnantha","Rodriguez-Echeverria et al","Jack-of-all-trades and master of many? How does associated rhizobial diversity influence the colonization success of Australian Acacia species?",2011,"Diversity and Distributions",17,"","946-957",""
"1149",219,"Australia","Acacia saligna","Rodriguez-Echeverria et al","Jack-of-all-trades and master of many? How does associated rhizobial diversity influence the colonization success of Australian Acacia species?",2011,"Diversity and Distributions",17,"","946-957",""
"1150",220,"Spain","Retama sphaerocarpa","Rodriguez-Echeverria et al","Genetic diversity of root nodulating bacteria associated with Retama sphaerocarpa in sites with different soil and environmental conditions",2014,"Systematic and Applied Microbiology",37,"","305-310",""
"1155",221,"Tunisia","Acacia tortilis","Romdhane et al","Diversity of Acacia tortilis rhizobia revealed by PCR/RFLP on crushed root nodules in Tunisia",2005,"Annals of Microbiology",55,"4","249-258",""
"1158",222,"Tunisia","Acacia tortilis","Romdhane et al","Genetic diversity of Acacia tortilis ssp. Raddiana rhizboia in Tunisia assessed by 16S and 16S-23S rDNA genes analysis",2006,"Journal of Applied Microbiology",100,"","436-445",""
"1160",223,"France","Medicago truncatula","Rome et al","Evidence that two genomic species of Rhizobium are associated with Medicago truncatula",1996,"Archives of Microbiology",165,"","285-288",""
"1164",224,"Spain","Retama sphaerocarpa","Ruiz-Diez et al","Stress tolerance, genetic analysis and symbiotic properties of root-nodulating bacteria isolated from Mediterranean leguminous shrubs in Central Spain",2009,"Archives of Microbiology",191,"","35-46",""
"1166",225,"Poland","Cytisus scoparius","Sajnaga et al","The root-nodule symbiosis between Sarothamnus scoparius L. and its microsymbionts",2001,"Antonie van Leeuwenhoek",79,"","385-391",""
"1167",226,"Senegal","Crotalaria perrottetii","Samba et al","Diversity of rhizobia nodulating Crotalaria spp. from Senegal",1999,"Symbiosis",27,"","259-268",""
"1168",226,"Senegal","Crotalaria lathyroides","Samba et al","Diversity of rhizobia nodulating Crotalaria spp. from Senegal",1999,"Symbiosis",27,"","259-268",""
"1169",226,"Senegal","Crotalaria podocarpa","Samba et al","Diversity of rhizobia nodulating Crotalaria spp. from Senegal",1999,"Symbiosis",27,"","259-268",""
"1170",226,"Senegal","Crotalaria comosa","Samba et al","Diversity of rhizobia nodulating Crotalaria spp. from Senegal",1999,"Symbiosis",27,"","259-268",""
"1171",226,"Senegal","Crotalaria glaucoides","Samba et al","Diversity of rhizobia nodulating Crotalaria spp. from Senegal",1999,"Symbiosis",27,"","259-268",""
"1172",226,"Senegal","Crotalaria goreensis","Samba et al","Diversity of rhizobia nodulating Crotalaria spp. from Senegal",1999,"Symbiosis",27,"","259-268",""
"1173",226,"Senegal","Crotalaria hyssopifolia","Samba et al","Diversity of rhizobia nodulating Crotalaria spp. from Senegal",1999,"Symbiosis",27,"","259-268",""
"1174",226,"Senegal","Crotalaria retusa","Samba et al","Diversity of rhizobia nodulating Crotalaria spp. from Senegal",1999,"Symbiosis",27,"","259-268",""
"1175",227,"Spain","Lupinus mariae-josephae","Sanchez-Canizares et al","Endosymbiotic bacteria nodulating a new endemic lupine Lupinus mariae-josephi from alkaline soils in Eastern Spain represent a new lineage within the Bradyrhizobium genus",2011,"Systematic and Applied Microbiology",34,"","207-215","from conference not publication"
"1180",228,"Mauritania","Acacia senegal","Sarr et al","Rhizobial populations in soils from natural Acacia senegal and Acacia nilotica forests in Mauritania and the Senegal River Valley",2005,"Microbial Ecology",50,"2","152-162",""
"1181",228,"Senegal","Acacia senegal","Sarr et al","Rhizobial populations in soils from natural Acacia senegal and Acacia nilotica forests in Mauritania and the Senegal River Valley",2005,"Microbial Ecology",50,"2","152-162",""
"1182",233,"Brazil","Mimosa cordistipula","Sheu et al","Burholderia symbiotica sp. Nov., isolated from root nodules of Mimosa spp. Native to north-east Brazil",2012,"International Journal of Systematic and Evolutionary Microbiology",62,"","2272-2278",""
"1184",235,"Japan","Robinia pseudoacacia","Shiraishi et al","Nodulation in black locust by the Gammaproteobacteria Pseudomonas sp. And the Betaproteobacteria Burkolderia sp.",2010,"Systematic and Applied Microbiology",33,"","269-274",""
"1189",236,"Japan","Robinia pseudoacacia","Shiraishi et al","Genetic diversity and spatial distribution of rhizobial bacteria nodulating on black locust (Robinia pseudocacia) rhizospheres",2011,"Soil Science and Plant Nutrition",57,"","765-774",""
"1191",238,"Mexico","Lupinus campestris","Stepkowski et al","Diversification of Lupine Bradyrhizobium strains: evidence from nodulation gene trees",2007,"Applied and Environmental Microbiology",73,"10","3254-3264",""
"1196",239,"Poland","Lupinus angustifolius","Stepkowski et al","Bradyrhizobium canariense and Bradyrhizobium japonicum are the two dominant rhizobium species in root nodules of lupin and serradella plants growing in Europe",2011,"Systematic and Applied Microbiology",34,"","368-375",""
"1200",239,"Italy","Ornithopus compressus","Stepkowski et al","Bradyrhizobium canariense and Bradyrhizobium japonicum are the two dominant rhizobium species in root nodules of lupin and serradella plants growing in Europe",2011,"Systematic and Applied Microbiology",34,"","368-375",""
"1204",239,"Poland","Ornithopus sativus","Stepkowski et al","Bradyrhizobium canariense and Bradyrhizobium japonicum are the two dominant rhizobium species in root nodules of lupin and serradella plants growing in Europe",2011,"Systematic and Applied Microbiology",34,"","368-375",""
"1208",240,"Australia","Acacia acuminata","Stepkowski et al","Distinct Bradyrhizobia communities nodulate legumes native to temperate and tropic monsoon Australia",2012,"Molecular Phylogenetics and Evolution",63,"","265-277",""
"1214",240,"Australia","Bossiaea eriocarpa","Stepkowski et al","Distinct Bradyrhizobia communities nodulate legumes native to temperate and tropic monsoon Australia",2012,"Molecular Phylogenetics and Evolution",63,"","265-277",""
"1218",240,"Australia","Crotalaria medicaginea","Stepkowski et al","Distinct Bradyrhizobia communities nodulate legumes native to temperate and tropic monsoon Australia",2012,"Molecular Phylogenetics and Evolution",63,"","265-277",""
"1224",240,"Australia","Dunbaria debilis","Stepkowski et al","Distinct Bradyrhizobia communities nodulate legumes native to temperate and tropic monsoon Australia",2012,"Molecular Phylogenetics and Evolution",63,"","265-277",""
"1230",240,"Australia","Galactia tenuiflora","Stepkowski et al","Distinct Bradyrhizobia communities nodulate legumes native to temperate and tropic monsoon Australia",2012,"Molecular Phylogenetics and Evolution",63,"","265-277",""
"1232",240,"Australia","Gastrolobium capitatum","Stepkowski et al","Distinct Bradyrhizobia communities nodulate legumes native to temperate and tropic monsoon Australia",2012,"Molecular Phylogenetics and Evolution",63,"","265-277",""
"1238",240,"Australia","Gompholobium polymorphum","Stepkowski et al","Distinct Bradyrhizobia communities nodulate legumes native to temperate and tropic monsoon Australia",2012,"Molecular Phylogenetics and Evolution",63,"","265-277",""
"1242",240,"Australia","Jacksonia sericea","Stepkowski et al","Distinct Bradyrhizobia communities nodulate legumes native to temperate and tropic monsoon Australia",2012,"Molecular Phylogenetics and Evolution",63,"","265-277",""
"1248",240,"Australia","Kennedia coccinea","Stepkowski et al","Distinct Bradyrhizobia communities nodulate legumes native to temperate and tropic monsoon Australia",2012,"Molecular Phylogenetics and Evolution",63,"","265-277",""
"1255",240,"Australia","Swainsona formosa","Stepkowski et al","Distinct Bradyrhizobia communities nodulate legumes native to temperate and tropic monsoon Australia",2012,"Molecular Phylogenetics and Evolution",63,"","265-277",""
"1259",241,"United_States","Amphicarpaea bracteata","Sterner and Parker","Diversity and relationships of bradyrhizobia from Amphicarpaea bracteata based on partial nod and ribosomal sequences",1999,"Systematic and Applied Microbiology",22,"","387-392",""
"1264",244,"Uruguay","Parapiptadenia rigida","Taule et al","New betaproteobacterial rhizobium strains able to effciently nodulate Parapiptadenia rigida (Benth.) Brenan",2012,"Applied and Environmental Microbiology",78,"6","1692-1700",""
"1271",245,"Senegal","Pterocarpus erinaceus","Sylla et al","Phenotypic and genotypic diversity of rhizobia nodulating Pterocarpus ernaceus and P. lucens in Senegal",2002,"Systematic and Applied Microbiology",25,"","572-583",""
"1274",245,"Senegal","Pterocarpus lucens","Sylla et al","Phenotypic and genotypic diversity of rhizobia nodulating Pterocarpus ernaceus and P. lucens in Senegal",2002,"Systematic and Applied Microbiology",25,"","572-583",""
"1275",246,"China","Amphicarpaea bracteata","Tan et al","Rhizobium yanglingense sp. Nov., isolated from arid and semi-arid regions in China",2001,"International Journal of Systematic and Evolutionary Microbiology",51,"","909-914",""
"1276",246,"China","Securigera varia","Tan et al","Rhizobium yanglingense sp. Nov., isolated from arid and semi-arid regions in China",2001,"International Journal of Systematic and Evolutionary Microbiology",51,"","909-914",""
"1277",247,"Brazil","Calliandra depauperata","Teiceira et al","Characterization of indigenous rhizobia from caatinga",2010,"Brazilian Journal of Microbiology",41,"","201-208",""
"1279",247,"Brazil","Cratylia mollis","Teiceira et al","Characterization of indigenous rhizobia from caatinga",2010,"Brazilian Journal of Microbiology",41,"","201-208",""
"1281",247,"Brazil","Mimosa tenuiflora","Teiceira et al","Characterization of indigenous rhizobia from caatinga",2010,"Brazilian Journal of Microbiology",41,"","201-208",""
"1283",249,"New_Zealand","Galega officinalis","Terefework et al","AFLP fingerprinting as a tool to study the genetic diversity of Rhizobium galegae isolated from Galega orientalis and Galega officinalis",2001,"Journal of Biotechnology",91,"","169-180",""
"1284",249,"UK","Galega officinalis","Terefework et al","AFLP fingerprinting as a tool to study the genetic diversity of Rhizobium galegae isolated from Galega orientalis and Galega officinalis",2001,"Journal of Biotechnology",91,"","169-180",""
"1285",249,"Finland","Galega orientalis","Terefework et al","AFLP fingerprinting as a tool to study the genetic diversity of Rhizobium galegae isolated from Galega orientalis and Galega officinalis",2001,"Journal of Biotechnology",91,"","169-180",""
"1286",249,"Russia","Galega orientalis","Terefework et al","AFLP fingerprinting as a tool to study the genetic diversity of Rhizobium galegae isolated from Galega orientalis and Galega officinalis",2001,"Journal of Biotechnology",91,"","169-180",""
"1287",250,"New_Zealand","Carmichaelia australis","Tan et al","Rhizobia with 16S rRNA and nifH similar to Mesorhizobium huakuii but novel recA, glnII, nodA, and nodC genes are symbionts of New Zealand Carmichaelinae",2012,"PLoS ONE",7,"10","e47677-e47677",""
"1293",250,"New_Zealand","Montigena novae-zelandiae","Tan et al","Rhizobia with 16S rRNA and nifH similar to Mesorhizobium huakuii but novel recA, glnII, nodA, and nodC genes are symbionts of New Zealand Carmichaelinae",2012,"PLoS ONE",7,"10","e47677-e47677",""
"1299",252,"Mexico","Acacia cochliacantha","Toledo et al","Sinorhizobium americanus sp. Nov., a new Sinorhizobium species nodulating native Acacia spp. In Mexico",2003,"Systematic and Applied Microbiology",26,"","54-64",""
"1300",252,"Mexico","Acacia macilenta","Toledo et al","Sinorhizobium americanus sp. Nov., a new Sinorhizobium species nodulating native Acacia spp. In Mexico",2003,"Systematic and Applied Microbiology",26,"","54-64",""
"1301",252,"Mexico","Acacia farnesiana","Toledo et al","Sinorhizobium americanus sp. Nov., a new Sinorhizobium species nodulating native Acacia spp. In Mexico",2003,"Systematic and Applied Microbiology",26,"","54-64",""
"1302",255,"New_Zealand","Lotus corniculatus","Sullivan et al","Four unnamed species of nonsymbiotic rhizobia isolated from the rhizosphere of Lotus corniculatus",1996,"Applied and Environmental Microbiology",62,"8","2818-2825",""
"1305",256,"Sudan","Prosopis chilensis","Nick et al","Sinorhizobium arboris sp. Nov. and Sinorhizobium kostiense sp. Nov., isolated from leguminous trees in Sudan and Kenya",1999,"International Journal of Systematic Bacteriology",49,"","1359-1368",""
"1306",256,"Kenya","Prosopis chilensis","Nick et al","Sinorhizobium arboris sp. Nov. and Sinorhizobium kostiense sp. Nov., isolated from leguminous trees in Sudan and Kenya",1999,"International Journal of Systematic Bacteriology",49,"","1359-1368",""
"1308",256,"Sudan","Acacia senegal","Nick et al","Sinorhizobium arboris sp. Nov. and Sinorhizobium kostiense sp. Nov., isolated from leguminous trees in Sudan and Kenya",1999,"International Journal of Systematic Bacteriology",49,"","1359-1368",""
"1310",257,"China","Amorpha fruticosa","Tan et al","Characterization of bacteria isolated from wild legumes in the north-western regions of China",1999,"International Journal of Systematic Bacteriology",49,"","1457-1469",""
"1312",257,"China","Amphicarpaea bracteata","Tan et al","Characterization of bacteria isolated from wild legumes in the north-western regions of China",1999,"International Journal of Systematic Bacteriology",49,"","1457-1469",""
"1318",257,"China","Securigera varia","Tan et al","Characterization of bacteria isolated from wild legumes in the north-western regions of China",1999,"International Journal of Systematic Bacteriology",49,"","1457-1469",""
"1324",257,"China","Gueldenstaedtia multiflora","Tan et al","Characterization of bacteria isolated from wild legumes in the north-western regions of China",1999,"International Journal of Systematic Bacteriology",49,"","1457-1469",""
"1330",259,"Australia","Mimosa pigra","Parker et al","Nodule symbiosis of invasive Mimosa pigra in Australia and in ancestral habitats: a comparative analysis",2007,"Biological Invasions",9,"","127-138",""
"1333",260,"Mexico","Phaseolus pedicellatus","Parker","Bradyrhizobia from wild Phaseolus, Desmodium and Macroptilium species in northern Mexico",2002,"Applied and Environmental Microbiology",68,"4","2044-2048",""
"1334",260,"Mexico","Phaseolus pauciflorus","Parker","Bradyrhizobia from wild Phaseolus, Desmodium and Macroptilium species in northern Mexico",2002,"Applied and Environmental Microbiology",68,"4","2044-2048",""
"1338",260,"Mexico","Desmodium grahamii","Parker","Bradyrhizobia from wild Phaseolus, Desmodium and Macroptilium species in northern Mexico",2002,"Applied and Environmental Microbiology",68,"4","2044-2048",""
"1340",260,"Mexico","Desmodium retinens","Parker","Bradyrhizobia from wild Phaseolus, Desmodium and Macroptilium species in northern Mexico",2002,"Applied and Environmental Microbiology",68,"4","2044-2048",""
"1342",260,"Mexico","Macroptilium gibbosifolium","Parker","Bradyrhizobia from wild Phaseolus, Desmodium and Macroptilium species in northern Mexico",2002,"Applied and Environmental Microbiology",68,"4","2044-2048",""
"1346",260,"Mexico","Phaseolus parvulus","Parker","Bradyrhizobia from wild Phaseolus, Desmodium and Macroptilium species in northern Mexico",2002,"Applied and Environmental Microbiology",68,"4","2044-2048",""
"1350",261,"France","Anthyllis vulneraria","Vidal et al","Mesorhizobium metallidurns sp. Nov., a metal-resistant symbiont of Anthyllis vulneraria growing on metallicolous soil in Languedoc, France",2009,"International Journal of Systematic and Evolutionary Microbiology",59,"","850-855",""
"1353",262,"Tunisia","Medicago laciniata","van Berkum et al","Chromosomal and symbiotic relationships of rhizobia nodulating Medicago truncatula and M. laciniata",2007,"Applied and Environmental Microbiology",73,"23","7597-7604",""
"1355",262,"Tunisia","Medicago truncatula","van Berkum et al","Chromosomal and symbiotic relationships of rhizobia nodulating Medicago truncatula and M. laciniata",2007,"Applied and Environmental Microbiology",73,"23","7597-7604",""
"1357",263,"Canary_Islands","Cytisus proliferus","Vineusa et al","Genoytpic characterization of Bradyrhizobium strains nodulating endemic woody legumes of the Canary Islands by PCR-restriction fragment length polymorphism analysis of genes encoding 16S rRNA (16S rDNA) and 16S-23S rDNA intergeneic spacers, repetitive extragenic palindromic PCR genomic fingerprinting and partial 16S rDNA sequencing",1998,"Applied and Environmental Microbiology",64,"6","2096-2104",""
"1364",264,"Tunisia","Medicago laciniata","Villegas et al","Nitrogen-fixing sinorhizobia with Medicago laciniata constitute a novel biovar (bv. Medicaginis) of S. Meliloti",2006,"Systematic and Applied Microbiology",29,"","526-538",""
"1365",264,"France","Medicago laciniata","Villegas et al","Nitrogen-fixing sinorhizobia with Medicago laciniata constitute a novel biovar (bv. Medicaginis) of S. Meliloti",2006,"Systematic and Applied Microbiology",29,"","526-538",""
"1374",265,"Mexico","Sesbania herbacea","Wang et al","Rhizobium huautlense sp. Nov., a symbiont of Sesbania herbacea that has a close phylogenetic relationship with Rhizobium galegae",1998,"International Journal of Systematic Bacteriology",48,"","687-699",""
"1378",266,"China","Amorpha fruticosa","Wang et al","Diversity of rhizobia associated with Amorpha fruticosa isolated from Chinese soils and description of Mesorhizobium amorphae sp. Nov. ",1999,"International Journal of Systematic Bacteriology",49,"","51-65",""
"1381",268,"Mexico","Leucaena leucocephala","Wang et al","Genetic diversity of rhizobia from Leucaena leucocephala nodules in Mexican soils",1999,"Microbial Ecology",8,"","711-724",""
"1383",269,"China","Albizia kalkora","Wang et al","Mesorhizobium albiziae sp. Nov., a novel bacterium that nodulates Albizia kalkora in a subtropical region of China",2007,"International Journal of Systematic and Evolutionary Microbiology",57,"","1192-1199",""
"1388",270,"China","Albizia julibrissin","Wang et al","Characterization of rhizobia isolated from Albizia spp. In comparison with microsymbionts of Acacia spp. And Leucaena leucocephala grown in China",2006,"Systematic and Applied Microbiology",29,"","502-517",""
"1392",270,"China","Albizia kalkora","Wang et al","Characterization of rhizobia isolated from Albizia spp. In comparison with microsymbionts of Acacia spp. And Leucaena leucocephala grown in China",2006,"Systematic and Applied Microbiology",29,"","502-517",""
"1396",270,"China","Leucaena leucocephala","Wang et al","Characterization of rhizobia isolated from Albizia spp. In comparison with microsymbionts of Acacia spp. And Leucaena leucocephala grown in China",2006,"Systematic and Applied Microbiology",29,"","502-517",""
"1400",271,"Mexico","Mimosa affinis","Wang et al","Rhizobium elti bv. Mimosae, a novel biovar isolated from Mimosa affinis",1999,"International Journal of Systematic Bacteriology",49,"","1479-1491",""
"1403",272,"Mexico","Conzattia multiflora","Wang et al","Diverse endophytic bacteria isolated from a leguminous tree Conzattia multiflora grown in Mexico",2006,"Archives of Microbiology",186,"","251-259",""
"1405",273,"United_States","Amorpha fruticosa","Wang et al","Mesorhizobium amorpha, a rhizobial species that nodulates Amorpha fruticosa, is native to American  soils",2002,"Archives of Microbiology",178,"","301-305",""
"1408",274,"Canada","Astragalus cicer","Wdowiak-Wrobel and Malek","Genomic diversity of Astragalus cicer microsymbionts revealved by AFLP fingerprinting",2005,"Journal of General and Applied Microbiology",51,"","369-378",""
"1409",274,"Poland","Astragalus cicer","Wdowiak-Wrobel and Malek","Genomic diversity of Astragalus cicer microsymbionts revealved by AFLP fingerprinting",2005,"Journal of General and Applied Microbiology",51,"","369-378",""
"1414",275,"China","Alhagi sparsifolia","Wei et al","A new clade of Mesohrizobium nodulating Alhagi sparsifolia",2009,"Systematic and Applied Microbiology",32,"","16-Aug",""
"1421",276,"China","Astragalus adsurgens","Wei et al","Phenotypic and genetic diversity of rhizobia isolated from nodules of the legume genera Astragalus, Lespedeza and Hedysarum in northwestern China",2008,"Microbiological Research",163,"","651-662",""
"1422",276,"China","Astragalus complanatus","Wei et al","Phenotypic and genetic diversity of rhizobia isolated from nodules of the legume genera Astragalus, Lespedeza and Hedysarum in northwestern China",2008,"Microbiological Research",163,"","651-662",""
"1423",276,"China","Lespedeza cyrtobotrya","Wei et al","Phenotypic and genetic diversity of rhizobia isolated from nodules of the legume genera Astragalus, Lespedeza and Hedysarum in northwestern China",2008,"Microbiological Research",163,"","651-662",""
"1424",278,"China","Astragalus adsurgens","Wei et al","Characterization of rhizobia isolated from legume species within the genera Astragalus and Lespedeza grown in the Loess Plateau of China and description of Rhizobium loessense sp. Nov.",2003,"International Journal of Systematic and Evolutionary Microbiology",53,"","1575-1583",""
"1425",278,"China","Astragalus complanatus","Wei et al","Characterization of rhizobia isolated from legume species within the genera Astragalus and Lespedeza grown in the Loess Plateau of China and description of Rhizobium loessense sp. Nov.",2003,"International Journal of Systematic and Evolutionary Microbiology",53,"","1575-1583",""
"1426",278,"China","Lespedeza cyrtobotrya","Wei et al","Characterization of rhizobia isolated from legume species within the genera Astragalus and Lespedeza grown in the Loess Plateau of China and description of Rhizobium loessense sp. Nov.",2003,"International Journal of Systematic and Evolutionary Microbiology",53,"","1575-1583",""
"1427",279,"China","Kummerowia stipulacea","Wei et al","Rhizobium indigoferae sp. Nov. and Sinorhizobium kummerowiae sp. Nov., respectively isolated from Indigofera spp. And Kummerowia stipulacea",2002,"International Journal of Systematic and Evolutionary Microbiology",52,"","2231-2239",""
"1429",279,"China","Indigofera amblyantha","Wei et al","Rhizobium indigoferae sp. Nov. and Sinorhizobium kummerowiae sp. Nov., respectively isolated from Indigofera spp. And Kummerowia stipulacea",2002,"International Journal of Systematic and Evolutionary Microbiology",52,"","2231-2239",""
"1430",279,"China","Indigofera carlesi","Wei et al","Rhizobium indigoferae sp. Nov. and Sinorhizobium kummerowiae sp. Nov., respectively isolated from Indigofera spp. And Kummerowia stipulacea",2002,"International Journal of Systematic and Evolutionary Microbiology",52,"","2231-2239",""
"1431",279,"China","Indigofera potaninii","Wei et al","Rhizobium indigoferae sp. Nov. and Sinorhizobium kummerowiae sp. Nov., respectively isolated from Indigofera spp. And Kummerowia stipulacea",2002,"International Journal of Systematic and Evolutionary Microbiology",52,"","2231-2239",""
"1432",280,"Mexico","Leucaena leucocephala","Wang et al","Diverse Mesorhizobium plurifarium populations native to Mexican soils",2003,"Archives of Microbiology",180,"","444-454",""
"1434",280,"Mexico","Sesbania herbacea","Wang et al","Diverse Mesorhizobium plurifarium populations native to Mexican soils",2003,"Archives of Microbiology",180,"","444-454",""
"1436",281,"China","Sphaerophysa salsula","Xu et al","Rhizobium sphaerophysae sp.nov., a novel species isolated from root nodules of Sphaerophysa salsula in China",2011,"Antonie van Leeuwenhoek",99,"","845-854",""
"1440",284,"China","Securigera varia","Yang et al","Genetic diversity and symbiotic evolution of rhizobia from root nodules of Coronilla varia",2013,"Systematic and Applied Microbiology",36,"","49-55",""
"1444",285,"China","Kummerowia striata","Yao et al","Rhizobia taibaishanense sp. Nov., isolated from a root nodule of Kummerowia striata",2012,"International Journal of Systematic and Evolutionary Microbiology",62,"","335-341",""
"1448",287,"China","Robinia pseudoacacia","Zhou et al","Mesorhizobium robiniae sp. Nov., isolated from root nodules of Robinia pseudoacacia",2010,"International Journal of Systematic and Evolutionary Microbiology",60,"","2552-2556",""
"1452",288,"Egypt","Melilotus indicus","Zahran et al","Polyphasic taxonomy of symbiotic rhizobia from wild leguminous plants growing in Egypt",2003,"Folia Microbiology",48,"4","510-520",""
"1453",288,"Egypt","Trifolium resupinatum","Zahran et al","Polyphasic taxonomy of symbiotic rhizobia from wild leguminous plants growing in Egypt",2003,"Folia Microbiology",48,"4","510-520",""
"1454",288,"Egypt","Acacia nilotica","Zahran et al","Polyphasic taxonomy of symbiotic rhizobia from wild leguminous plants growing in Egypt",2003,"Folia Microbiology",48,"4","510-520",""
"1455",289,"New_Zealand","Carmichaelia australis","Weir et al","Unexpectedly diverse Mesorhizobium strains and Rhizobium leguminosarum nodulate native legume genera of New Zealand, while introduced legume weeds are nodulated by Bradyrhizobium species",2004,"Applied and Environmental Microbiology",70,"10","5980-5987",""
"1459",289,"New_Zealand","Clianthus puniceus","Weir et al","Unexpectedly diverse Mesorhizobium strains and Rhizobium leguminosarum nodulate native legume genera of New Zealand, while introduced legume weeds are nodulated by Bradyrhizobium species",2004,"Applied and Environmental Microbiology",70,"10","5980-5987",""
"1463",289,"New_Zealand","Cytisus scoparius","Weir et al","Unexpectedly diverse Mesorhizobium strains and Rhizobium leguminosarum nodulate native legume genera of New Zealand, while introduced legume weeds are nodulated by Bradyrhizobium species",2004,"Applied and Environmental Microbiology",70,"10","5980-5987",""
"1467",289,"New_Zealand","Sophora microphylla","Weir et al","Unexpectedly diverse Mesorhizobium strains and Rhizobium leguminosarum nodulate native legume genera of New Zealand, while introduced legume weeds are nodulated by Bradyrhizobium species",2004,"Applied and Environmental Microbiology",70,"10","5980-5987",""
"1471",289,"New_Zealand","Ulex europaeus","Weir et al","Unexpectedly diverse Mesorhizobium strains and Rhizobium leguminosarum nodulate native legume genera of New Zealand, while introduced legume weeds are nodulated by Bradyrhizobium species",2004,"Applied and Environmental Microbiology",70,"10","5980-5987",""
"1475",290,"Australia","Lotus cruentus","Yates et al","Root-nodule bacteria from indigenous legumes in the north-west of Western Australia and their interaction with exotic legumes",2004,"Soil Biology and Biochemistry",36,"","1319-1329",""
"1478",290,"Australia","Swainsona leeana","Yates et al","Root-nodule bacteria from indigenous legumes in the north-west of Western Australia and their interaction with exotic legumes",2004,"Soil Biology and Biochemistry",36,"","1319-1329",""
"1482",291,"China","Ageratina adenophora","Xu et al","Changes in non-symbiotic nitrogen-fixing bacteria inhabiting rhizosphere soils of an invasive plant Ageratina adenophora",2012,"Applied Soil Ecology",54,"","32-38",""
